session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
jo496rl6,80,la5ys9v6,0,,InitializeParticipant,1643635823,1,0,0
jo496rl6,84,rh7p4zws,0,,InitializeParticipant,1643635825,1,0,0
jo496rl6,85,rodqqem5,0,,InitializeParticipant,1643635825,1,0,0
jo496rl6,92,9lgmwtrd,0,,InitializeParticipant,1643635827,1,0,0
jo496rl6,66,nptzn8et,3,Intro,Consent,1643635829,1,0,0
jo496rl6,63,cevyt8wl,3,Intro,Consent,1643635833,1,0,0
jo496rl6,72,yozoiqey,3,Intro,Consent,1643635837,1,0,0
jo496rl6,56,zmh3pcq6,3,Intro,Consent,1643635837,1,0,0
jo496rl6,79,9ply18bj,1,Intro,Welcome,1643635838,1,0,0
jo496rl6,57,a175wr33,1,Intro,Welcome,1643635839,1,0,0
jo496rl6,139,kmuk3jzf,0,,InitializeParticipant,1643635840,1,0,0
jo496rl6,7,q3cbyi7h,5,belief_survey,InstructionsFeedback,1643635840,1,0,0
jo496rl6,44,mu7tjj8a,3,Intro,Consent,1643635840,1,0,0
jo496rl6,143,8sgdbufl,0,,InitializeParticipant,1643635841,1,0,0
jo496rl6,52,mt48sw3a,3,Intro,Consent,1643635844,1,0,0
jo496rl6,26,kp3chkrz,1,Intro,Welcome,1643635846,1,0,0
jo496rl6,29,8kqy6h58,3,Intro,Consent,1643635847,1,0,0
jo496rl6,137,wtvxj2aj,1,Intro,Welcome,1643635847,1,0,0
jo496rl6,159,o1mmn9do,0,,InitializeParticipant,1643635847,1,0,0
jo496rl6,162,3tdbpkjc,0,,InitializeParticipant,1643635848,1,0,0
jo496rl6,168,rqkm4c40,0,,InitializeParticipant,1643635850,1,0,0
jo496rl6,173,r1s390c5,0,,InitializeParticipant,1643635851,1,0,0
jo496rl6,75,oey28u03,1,Intro,Welcome,1643635853,1,0,0
jo496rl6,48,8tv79l21,1,Intro,Welcome,1643635854,1,0,0
jo496rl6,187,6uj8gv8j,0,,InitializeParticipant,1643635854,1,0,0
jo496rl6,190,r57oc8pa,0,,InitializeParticipant,1643635855,1,0,0
jo496rl6,120,0wodxhqm,1,Intro,Welcome,1643635855,1,0,0
